Rank,NCT Number,Title,Acronym,Status,Conditions.1,Conditions.2,Conditions.3,Conditions.4,Conditions.5,Conditions.6,Conditions.7,Interventions,Sponsor/Collaborators,Gender,Age,Enrollment,Funded Bys,Study Type,Start Date,Primary Completion Date,Completion Date,First Posted,Last Update Posted,Locations.1,Country,Generalized Condition,Has Chronic Condition,Condition Count,Total Days Taken
372.0,NCT04839913,"Seroprevalence of SARS-CoV-2 in Unselected Surgical Patients: an Unicentric, Regional Study",COVID-19,Completed,SARS-CoV Infection,Seroprevalence,COVID-19,,,,,Diagnostic Test: Antibodies testing,University of Cagliari,All,"18 Years and older   (Adult, Older Adult)",121.0,Other,Observational,2020-01-09,10/12/20,2021-10-01,09/04/21,09/04/21,"University of Cagliari, Cagliari",Italy,Respiratory Diseases,1,3,631.0
373.0,NCT04354857,Qualitative and Quantitative Evaluation of Anosmia Over Time in Clinically Symptomatic Patients Tested for COVID-19 Infection,Anosmie-COVID,Recruiting,COVID-19,,,,,,,Other: olfactory and gustatory tests,Centre Hospitalier Universitaire de Nīmes,All,"18 Years and older   (Adult, Older Adult)",454.0,Other,Observational,2020-03-27,01/07/20,2020-01-11,21/04/20,21/04/20,"CHU de Nimes, Nîmes",France,Respiratory Diseases,1,1,-76.0
374.0,NCT04368338,Lung Ultrasound to Diagnose COVID-19,COVILUS,Recruiting,COVID-19,Lung Ultrasound,Respiratory Complication,,,,,Diagnostic Test: COVID-19 RT-PCR|Procedure: lung ultrasound,"Centre Hospitalier Universitaire, Amiens",All,"18 Years and older   (Adult, Older Adult)",100.0,Other,Observational,2020-04-28,28/01/21,2021-09-28,29/04/20,04/12/20,"BAR, Amiens",France,Respiratory Diseases,1,3,518.0
375.0,NCT04813575,COVID-19 Pathophysiology of Long Term Implications,,Enrolling by invitation,COVID-19,Pulmonary Fibrosis,Organising Pneumonia,Thromboembolism,,,,Other: Cryo lung biopsies,King Faisal Specialist Hospital & Research Center,All,"18 Years and older   (Adult, Older Adult)",60.0,Other,Interventional,2021-01-04,01/04/22,2022-01-06,24/03/21,24/03/21,"King Faisal Specialist Hospital and Research Centre, Riyadh",Saudi Arabia,Respiratory Diseases,1,4,367.0
376.0,NCT04350073,Longitudinal Energy Expenditure and Metabolic Effects in Patients With COVID-19 (LEEP-COVID),,Recruiting,COVID-19,,,,,,,Device: Q-NRG Metobolic Cart Device|Device: MuscleSound Ultrasound|Device: Multifrequency Bioimpedance Spectroscopy,Duke University,All,"18 Years and older   (Adult, Older Adult)",120.0,Other,Observational,2020-04-20,01/10/21,2021-01-12,16/04/20,14/12/20,"Duke University Medial Center, Durham, North Carolina",United States,Respiratory Diseases,1,1,267.0
377.0,NCT04642339,"Clinical Trial of the Immunogenicity, Safety, and Efficacy of the Gam-COVID-Vac Vaccine Against COVID-19 in Venezuela",VENEZUELA,Not yet recruiting,COVID-19,,,,,,,Biological: Gam-COVID-Vac|Biological: Placebo,"Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation|Ministerio del Poder Popular para la Salud de la República Bolivariana de Venezuela",All,"18 Years and older   (Adult, Older Adult)",2000.0,Other,Interventional,2020-01-11,01/10/21,2021-01-12,24/11/20,24/11/20,,,Respiratory Diseases,1,1,367.0
378.0,NCT04627467,Prevention With Chloroquine in Health Personnel Exposed to Infection With Coronavirus Disease 2019 (COVID-19) (TS-COVID),TS-COVID,"Active, not recruiting",COVID-19,,,,,,,Drug: Chloroquine,Fundacion Clinica Valle del Lili,All,"18 Years and older   (Adult, Older Adult)",3217.0,Other,Interventional,2020-03-28,09/07/20,2021-01-07,13/11/20,06/04/21,"Fundacion Valle del Lili, Cali, Valle Del Cauca",Colombia,Respiratory Diseases,1,1,285.0
379.0,NCT04386759,COVID-19 Infection in Healthcare Workers,HOP-COVID,Not yet recruiting,COVID-19,,,,,,,Other: Cohort,Assistance Publique - Hôpitaux de Paris,All,"18 Years and older   (Adult, Older Adult)",6000.0,Other,Observational,2020-01-05,01/10/20,2020-01-10,13/05/20,13/05/20,"Assistance Publique Hôpitaux de Paris - CHU Henri Mondor, Créteil",France,Respiratory Diseases,1,1,5.0
380.0,NCT04695158,Blood Sample Measurements and Physical Activity Levels in Type II Diabetes and/or COVID-19,,Recruiting,COVID-19,"Diabetes Mellitus, Type 2",,,,,,Drug: COVID-19 group (Group I)|Drug: Type II Diabetes Mellitus and COVID-19 group (Group II),Izmir Bakircay University|Cigli Regional Training Hospital|Muğla Sıtkı Koçman University,All,"35 Years to 65 Years   (Adult, Older Adult)",60.0,Other,Observational,2021-06-01,01/02/21,2021-01-03,05/01/21,11/02/21,"Kadirhan Ozdemir, İzmir",Turkey,"Metabolic Disorders, Respiratory Diseases",1,2,-149.0
381.0,NCT04762186,Adoptive SARS-CoV-2 Specific T Cell Transfer in Patients at Risk for Severe COVID-19,ACT-COVID-19,Not yet recruiting,COVID-19,,,,,,,"Drug: IMP 1,000 plus SoC|Drug: IMP 5,000 plus SoC|Drug: IMP RP2D plus SoC|Drug: SoC",Universitätsklinikum Köln|ZKS Köln|MMH Institute for Transfusion Medicine|Miltenyi Biomedicine GmbH,All,"18 Years to 99 Years   (Adult, Older Adult)",51.0,Other|Industry,Interventional,2021-01-04,01/09/22,2022-01-12,21/02/21,21/02/21,"Department I for Internal Medicine University Hospital of Cologne, Cologne, NRW",Germany,Respiratory Diseases,1,1,373.0
382.0,NCT04575545,Prevalence of COVID-19 Infection in a Cohort of Patients Infected by the HIV and Patients Taking PrEP,,Not yet recruiting,COVID-19,Virus-HIV,,,,,,Diagnostic Test: Serology test for COVID-19,Hôpital Européen Marseille,All,"18 Years and older   (Adult, Older Adult)",600.0,Other,Observational,2020-01-10,01/03/21,2022-01-04,05/10/20,05/10/20,"BENNANI, Marseille",France,Respiratory Diseases,1,2,725.0
383.0,NCT04525417,Rapid Screening Test for Covid-19 Antibodies in Healthcare Workers,,Completed,COVID-19,,,,,,,Diagnostic Test: AAZ Covid-19 rapid test,Groupe d'Etude sur le Risque d'Exposition des Soignants aux Agents Infectieux,All,"18 Years and older   (Adult, Older Adult)",75.0,Other,Interventional,2020-04-25,25/09/20,2020-10-25,25/08/20,03/02/21,"Bichat University Hospital, Paris",France,Respiratory Diseases,1,1,183.0
384.0,NCT04813770,The Impact of Theory-based Messaging on Covid-19 Vaccination Intentions,,Not yet recruiting,Vaccination,COVID-19,,,,,,Behavioral: Theory-based messages|Behavioral: General messages,University of Glasgow,All,"18 Years and older   (Adult, Older Adult)",1094.0,Other,Interventional,2021-01-03,01/03/21,2021-01-03,24/03/21,24/03/21,"University of Glasgow, Glasgow",United Kingdom,Respiratory Diseases,1,2,0.0
385.0,NCT04563442,Comorbidities And Complications Associated With Covid-19 Infection,,Not yet recruiting,COVID-19,,,,,,,Other: complication,Assiut University,All,"18 Years to 100 Years   (Adult, Older Adult)",200.0,Other,Observational,2020-10-15,15/10/22,2023-02-25,24/09/20,24/09/20,,,Respiratory Diseases,1,1,863.0
386.0,NCT04408157,A Research Study to Evaluate the Benefits of a Self-management Booklet to Promote Wellbeing During the COVID-19 Pandemic,SWitCh,"Active, not recruiting",COVID-19,,,,,,,Behavioral: Self-management booklet (SWitCh: Stay well during COVID-19),King's College London,All,"18 Years and older   (Adult, Older Adult)",185.0,Other,Interventional,2020-05-20,22/08/21,2021-12-22,29/05/20,16/03/21,"Online recruitment through Qualtrics, London",United Kingdom,Respiratory Diseases,1,1,581.0
387.0,NCT04359537,Efficacy of Various Doses of Hydroxychloroquine in Pre-Exposure Prophylaxis for COVID 19,CHEER,Recruiting,COVID-19,,,,,,,Drug: Hydroxychloroquine Sulfate 200 MG|Other: Placebo,Shaheed Zulfiqar Ali Bhutto Medical University,All,18 Years to 60 Years   (Adult),200.0,Other,Interventional,2020-01-05,25/08/20,2020-09-25,24/04/20,19/05/20,"Shaheed Zulfiaqar Ali Bhutto Medical University, Islamabad, Federal Capital",Pakistan,Respiratory Diseases,1,1,264.0
388.0,NCT04434261,Oncological Surgery in Times of COVID-19: Effectiveness of Preoperative Screening for Sars-Cov-2,ASTANA,Recruiting,COVID-19,Oncology,Surgery,,,,,Diagnostic Test: PT-PCR test for SARS-CoV-2,Instituto Brasileiro de Controle do Cancer,All,"18 Years and older   (Adult, Older Adult)",1500.0,Other,Observational,2020-11-05,31/12/20,2021-09-30,16/06/20,08/03/21,"Instituto Brasileiro de Controle do Cancer - IBCC, Sao Paulo",Brazil,Respiratory Diseases,1,3,329.0
389.0,NCT04423640,Analysis of the Inflammatory Response and the Development of Humoral and Cellular Immunity in Patients With COVID-19,,Recruiting,COVID-19,,,,,,,Other: Active COVID-19 disease,"Coordinación de Investigación en Salud, Mexico|Instituto Mexicano del Seguro Social",All,"16 Years and older   (Child, Adult, Older Adult)",200.0,Other,Observational,2020-04-15,15/06/20,2020-08-15,09/06/20,13/08/20,"UMAE Hospital de Especialidades del Centro Médico Nacional Siglo XXI, IMSS., México, Ciudad De México",Mexico,Respiratory Diseases,1,1,122.0
390.0,NCT04786197,Detection of SARS-CoV-2 (COVID-19) by SERS Spectroscopy Combined With Artificial Intelligence,Kaïssa Covid,Recruiting,COVID-19,,,,,,,,Groupe Hospitalier Paris Saint Joseph,All,"18 Years and older   (Adult, Older Adult)",603.0,Other,Observational,2020-12-17,16/06/21,2021-12-31,08/03/21,10/03/21,"Groupe Hospitalier Paris Saint-Joseph, Paris, Ile De France",France,Respiratory Diseases,1,1,379.0
391.0,NCT04838821,Efficacy and Safety of Three Different Doses of an Anti SARS-CoV-2 Hyperimmune Equine Serum in COVID-19 Patients,SECR-02,Not yet recruiting,COVID-19,,,,,,,Biological: Anti SARS-CoV-2 equine hyperimmune serum|Biological: placebo,Caja Costarricense de Seguro Social|Universidad de Costa Rica|Ministry of Health Costa Rica,All,"18 Years and older   (Adult, Older Adult)",156.0,Other,Interventional,2021-03-29,29/07/21,2021-09-29,09/04/21,09/04/21,"Centro Especializado de Atención COVID19 (CEACO), San José, Costa Rica|Hospital Dr. Rafael Ángel Calderón Guardia, San José, Costa Rica|Hospital México, San José, Costa Rica|Hospital San Juan de Dios, San José",Costa Rica,Respiratory Diseases,1,1,184.0
392.0,NCT04444687,COVID 19: Is SARS-CoV-2 Contaminating Surgical Aerosols From Laparoscopy and Open Abdominal Surgery?,LapCoVIDSurg,Not yet recruiting,COVID-19,,,,,,,Diagnostic Test: Test for SARS-CoV-2,"University Hospital, Basel, Switzerland",All,"18 Years and older   (Adult, Older Adult)",20.0,Other,Observational,2020-01-08,01/12/20,2021-01-02,23/06/20,23/06/20,,,Respiratory Diseases,1,1,360.0
393.0,NCT04680819,Evaluation of the Effect of Anatolian Propolis on Covid-19 in Healthcare Professionals,,Not yet recruiting,COVID-19,,,,,,,Dietary Supplement: Anatolian Propolis,Ataturk University,All,"18 Years to 65 Years   (Adult, Older Adult)",50.0,Other,Observational,2020-12-25,25/01/21,2021-01-25,23/12/20,23/12/20,,,Respiratory Diseases,1,1,31.0
394.0,NCT04822402,COVID-19 Among Pregnant Women in Assiut,,Not yet recruiting,COVID-19,,,,,,,,Assiut University,Female,"Child, Adult, Older Adult",50.0,Other,Observational,2021-01-05,01/04/22,2022-01-06,30/03/21,30/03/21,,,Respiratory Diseases,1,1,366.0
395.0,NCT04611802,"A Study Looking at the Efficacy, Immune Response, and Safety of a COVID-19 Vaccine in Adults at Risk for SARS-CoV-2",,"Active, not recruiting",SARS-CoV Infection,COVID-19,,,,,,Biological: SARS-CoV-2 rS/Matrix-M1 Adjuvant (Initial Vaccination Period)|Other: Placebo (Initial Vaccination Period)|Biological: SARS-CoV-2 rS/Matrix-M1 Adjuvant (Crossover Vaccination period)|Other: Placebo (Crossover Vaccination period),Novavax|Department of Health and Human Services,All,"18 Years and older   (Adult, Older Adult)",30000.0,Industry|U.S. Fed,Interventional,2020-12-27,31/03/21,2022-12-30,02/11/20,24/02/21,"Accel Research Sites, Birmingham, Alabama, United States|HOPE Research Institute, Phoenix, Arizona, United States|AMR Tempe Clinical Research Consortium, Tempe, Arizona, United States|Lynn Institute of the Ozarks, Little Rock, Arkansas, United States|Preferred Research Partners, Inc., Little Rock, Arkansas, United States|Anaheim Clinical Trials, Anaheim, California, United States|Advanced Clinical Research - Rancho Paseo, Banning, California, United States|eStudy Site, Chula Vista, California, United States|eStudySite - Corporate Offices, La Mesa, California, United States|Wr-Pri, Llc, Los Alamitos, California, United States|National Research Institute, Los Angeles, California, United States|Transitional Research Group, Inc., North Hollywood, California, United States|Empire Clinical Research, Pomona, California, United States|University of California Davis Health, Sacramento, California, United States|Benchmark Research, Sacramento, California, United States|California Research Foundation, San Diego, California, United States|Synexus Clinical Research US, Inc., Vista, California, United States|Dignity Health Medical Foundation - Woodland, Woodland, California, United States|University of Colorado Hospital CRS, Aurora, Colorado, United States|Lynn Institute of the Rockies, Colorado Springs, Colorado, United States|Howard University Hospital Howard/ University College of Medicine, Washington, District of Columbia, United States|University Clinical Research-Deland, LLC dba Accel Research Sites, DeLand, Florida, United States|SIMED Health, LLC / SIMED Research, Gainesville, Florida, United States|M D Clinical, Hallandale Beach, Florida, United States|Research Centers of America, Hollywood, Florida, United States|Jacksonville Center for Clinical Research, Jacksonville, Florida, United States|Meridien Research/Accel Research, Lakeland, Florida, United States|Miami Veterans Affairs Medical Center, Miami, Florida, United States|Suncoast Research Associates, LLC, Miami, Florida, United States|Clinical Neuroscience Solutions Inc, Orlando, Florida, United States|Synexus Clinical Research US, Inc, Pinellas Park, Florida, United States|University of South Florida, Tampa, Florida, United States|Jedidiah Clinical Research, Tampa, Florida, United States|Synexus Clinical Research US, Inc., The Villages, Florida, United States|Comprehensive Clinical Trials, Llc, West Palm Beach, Florida, United States|Atlanta - Morehouse School of Medicine, Atlanta, Georgia, United States|Ponce CRS Emory University, Atlanta, Georgia, United States|Synexus Clinical Research US, Inc., Atlanta, Georgia, United States|Atlanta Center for Medical Research, Atlanta, Georgia, United States|IACT Health (DBA John B. Amos Cancer Center), Columbus, Georgia, United States|Clinical Research Atlanta, Stockbridge, Georgia, United States|Advanced Clinical Research, Meridian, Idaho, United States|Synexus, Chicago, Illinois, United States|Cedar Crosse Research Center, Chicago, Illinois, United States|Providea Health Partners LLC, Mokena, Illinois, United States|Synexus USA, Evansville, Indiana, United States|Buynak Clinical Research, P.C., Valparaiso, Indiana, United States|University of Iowa Medical Center, Iowa City, Iowa, United States|Meridian Clinical Research, Sioux City, Iowa, United States|Johnson County Clin-Trials, Inc., Lenexa, Kansas, United States|Meridian Clinical Research, LLC, Baton Rouge, Louisiana, United States|Med Pharmics, LLC, Metairie, Louisiana, United States|Willis-Knighton Physician Network, Shreveport, Louisiana, United States|University Of Maryland School Of Medicine CVD, Baltimore, Maryland, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|VA Ann Arbor Healthcare System, Ann Arbor, Michigan, United States|Wayne State University/ Children's Hospital of Michigan, Detroit, Michigan, United States|University of Minnesota, Minneapolis, Minnesota, United States|Synexus Clinical Research US, Inc., Richfield, Minnesota, United States|MedPharmics, LLC-Biloxi, Gulfport, Mississippi, United States|The Curators of University of Missouri, Columbia, Missouri, United States|Sundance Clinical Research, LLC, Saint Louis, Missouri, United States|Meridian Clinical Research, Norfolk, Nebraska, United States|Meridian Clinical Research Associates, LLC, Omaha, Nebraska, United States|University Of Nebraska Medical Center, Omaha, Nebraska, United States|Synexus Clinical Research US, Inc., Henderson, Nevada, United States|Clinical Research Consortium, Las Vegas, Nevada, United States|Stony Brook Responder Vaccine Program, Commack, New York, United States|Weill Cornell Chelsea CRS, New York, New York, United States|Rochester Clinical Research, Rochester, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|The Charlotte-Mecklenburg Hospital Authority d/b/a Atrium Health, Charlotte, North Carolina, United States|M3-Emerging Medical Research, LLC, Durham, North Carolina, United States|Carolina Institute for Clinical Research, Fayetteville, North Carolina, United States|Womack Army Medical Center, Fort Bragg, North Carolina, United States|M3 Wake Research, Inc, Raleigh, North Carolina, United States|PMG Research of Rocky Mount, LLC, Rocky Mount, North Carolina, United States|PMG Research of Wilmington, LLC, Wilmington, North Carolina, United States|Synexus Clinical Research, US, Inc., Akron, Ohio, United States|Sterling Research Group, Ltd., Cincinnati, Ohio, United States|Synexus Clinical Research US, Inc., Cincinnati, Ohio, United States|Sterling Research Group, Ltd, Cincinnati, Ohio, United States|Rapid Medical Research, Inc., Cleveland, Ohio, United States|Medical Research International, Oklahoma City, Oklahoma, United States|Lynn Health Science Institute, Oklahoma City, Oklahoma, United States|CRISOR, LLC - Clinical Research Institute of Southern Oregon, PC, Medford, Oregon, United States|The Miriam Hospital (TMH), Providence, Rhode Island, United States|Velocity Clinical Research, Providence, Warwick, Rhode Island, United States|Synexus Clinical Research US, Inc., Anderson, South Carolina, United States|Medical University of South Carolina, SCTR Research Nexus, Charleston, South Carolina, United States|Missouri Breaks Industries Research Inc., Eagle Butte, South Dakota, United States|PMG Research of Bristol, Bristol, Tennessee, United States|WR Clinsearch, LLC, Chattanooga, Tennessee, United States|PMG Research, Inc. d/b/a PMG Research of Knoxville, Knoxville, Tennessee, United States|Clinical Neurosciecne Solutions, Inc. dba CNS Healthcare, Memphis, Tennessee, United States|Clinical and Translational Research Center at Meharry Medical College, Nashville, Tennessee, United States|Benchmark Research, Austin, Texas, United States|Benchmark Research, Fort Worth, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|Texas Center for Drug Development, Inc, Houston, Texas, United States|Centex Studies, Inc, McAllen, Texas, United States|Research Your Health, Plano, Texas, United States|Synexus, US - San Antonio, San Antonio, Texas, United States|University of Texas Health Science Center San Antonio, San Antonio, Texas, United States|DM Clinical Research, Tomball, Texas, United States|Advanced Clinical Research, West Jordan, Utah, United States|Health Research of Hampton Roads, Inc, Newport News, Virginia, United States|MultiCare Institute for Research & Innovation, Cheney, Washington, United States|University of Washington VTEU, Seattle, Washington, United States|PanAmerican Clinical Research Mexico, Juriquilla, Queretaro, Mexico|Unidad de Atencion Medica e Investigacion en Salud (UNAMIS), Merida, Yucatan, Mexico|Instituto Nacional de Salud Publica (INSP) - Cuernavaca - Centro de Investigacion en Salud Poblacional (CISP), Cuernavaca, Mexico|CAIMED Investigacion en Salud S.A de C.V, Mexico City, Mexico|Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran, Mexico City, Mexico|Faicic S. de R.L. de C.V., Veracruz, Mexico|Ponce Medical School Foundation Inc. / CAIMED Cneter, Ponce, Puerto Rico|University of Puerto Rico Medical Sciences Campus Maternal Infant Studies Cente",Puerto Rico,Respiratory Diseases,1,2,733.0
396.0,NCT04411576,Current and Past SARS-CoV-2 Infection and COVID-19 in Healthcare,,Recruiting,SARS-CoV 2,,,,,,,Diagnostic Test: Throat swab sample for measuring current infection with SARS-CoV-2|Diagnostic Test: Blood sample for serology to measure past infection with SARS-CoV-2,Karolinska University Hospital,All,"18 Years to 99 Years   (Adult, Older Adult)",40000.0,Other,Observational,2020-04-23,01/07/20,2020-12-31,02/06/20,02/06/20,"Karolinska University Hospital, Stockholm",Sweden,Respiratory Diseases,1,1,252.0
397.0,NCT04569292,COVID-19 Infection in Cancer Pantients,COICA,Recruiting,COVID-19,,,,,,,Other: No intervention on patients,Ospedale Andrea Tortora di Pagani,All,"Child, Adult, Older Adult",150.0,Other,Observational,2020-01-01,01/04/21,2021-01-08,29/09/20,29/09/20,"Oncology Unit, Hospital Andrea Tortora, Pagani, Salerno",Italy,Respiratory Diseases,1,1,373.0
398.0,NCT04388618,Investigating Anosmia and Ageusia in COVID-19 Adult Patients in Saudi Arabia,,Recruiting,Anosmia,Ageusia,COVID-19,Corona Virus Infection,,,,Other: NHANES smell and taste tests,Princess Nourah Bint Abdulrahman University,All,"12 Years to 65 Years   (Child, Adult, Older Adult)",250.0,Other,Observational,2020-06-15,31/08/21,2021-11-30,14/05/20,16/03/21,"Princess Nourah Bint Abdulrahman Univeristy, Riyadh, Central, Saudi Arabia|prince Mohammed bin Abdulaziz Hospital, Riyadh, Central",Saudi Arabia,Respiratory Diseases,1,4,533.0
399.0,NCT04347889,Preventing COVID-19 in Healthcare Workers With HCQ: A RCT,,Withdrawn,COVID-19,,,,,,,Drug: Hydroxychloroquine|Other: Vitamin C,Stony Brook University,All,"18 Years and older   (Adult, Older Adult)",0.0,Other,Interventional,2020-04-20,30/12/20,2020-12-30,15/04/20,02/11/20,,,Respiratory Diseases,1,1,254.0
400.0,NCT04810117,Monitoring the IgG/IgM Antibodies in COVID-19 Patients,,Not yet recruiting,COVID-19,,,,,,,Diagnostic Test: Serodiagnosis of IgG and IgM,"University of Sargodha|Dr Fariha Kanwal, Med-X Research Institute, School of biomedical engineering, Shanghai",All,18 Years to 60 Years   (Adult),100.0,Other,Observational,2021-01-04,30/08/21,2021-10-30,22/03/21,24/03/21,,,Respiratory Diseases,1,1,299.0
401.0,NCT04558385,Seroconversion in COVID-19 Recovered Population,,Completed,COVID-19,,,,,,,Diagnostic Test: IgG SARS CoV2,Lahore General Hospital,All,"Child, Adult, Older Adult",275.0,Other,Observational,2020-01-07,31/03/21,2021-03-31,22/09/20,01/04/21,"Lahore General Hospital, Lahore, Punjab",Pakistan,Respiratory Diseases,1,1,449.0
402.0,NCT04388683,Inhaled Nitric Oxide for Preventing Progression in COVID-19,NO-COVID-19,"Active, not recruiting",COVID-19,,,,,,,Drug: Nitric Oxide,Tufts Medical Center|Bellerophon,All,"18 Years to 85 Years   (Adult, Older Adult)",42.0,Other|Industry,Interventional,2020-12-05,30/04/21,2021-07-31,14/05/20,02/02/21,"Tufts Medical Center, Boston, Massachusetts",United States,Respiratory Diseases,1,1,238.0
403.0,NCT04607928,Pirfenidone Compared to Placebo in Post-COVID19 Pulmonary Fibrosis COVID-19,FIBRO-COVID,Recruiting,COVID-19,,,,,,,Drug: Pirfenidone|Drug: Placebo,Institut d'Investigació Biomèdica de Bellvitge,All,"18 Years and older   (Adult, Older Adult)",148.0,Other,Interventional,2020-01-08,01/08/21,2021-01-08,29/10/20,05/11/20,"University Hospital of Bellvitge, Hospitalet de Llobregat, Barcelona, Spain|Hospital Germans Trias i Pujol, Badalona, Spain|Hospital Clínic, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital Sant Pau, Barcelona, Spain|Hospital La Princes, Madrid, Spain|Hospital Puerta de Hierro, Madrid, Spain|Hospital Ramón y Cajal, Madrid",Spain,Respiratory Diseases,1,1,366.0
404.0,NCT04474288,The COVID-19 PUI Reality Check (CPRC) Study,CPRC,Recruiting,COVID-19,,,,,,,Diagnostic Test: SARS-CoV-2 antibody testing,"Bassett Healthcare|Bioreference, Inc",All,"18 Years and older   (Adult, Older Adult)",400.0,Other,Observational,2020-07-16,01/07/21,2021-01-07,16/07/20,20/08/20,"Bassett Medical Center, Cooperstown, New York",United States,Respiratory Diseases,1,1,175.0
405.0,NCT04359862,Sedation With Sevoflurane Versus Propofol in Patients With Acute Respiratory Distress Syndrome Caused by COVID19 Infection,SEVO-COVID19,Recruiting,Acute Respiratory Distress Syndrome,COVID-19,,,,,,Drug: Sevoflurane|Drug: Propofol,Fundación para la Investigación del Hospital Clínico de Valencia,All,"18 Years to 99 Years   (Adult, Older Adult)",50.0,Other,Interventional,2020-04-16,31/03/21,2021-04-30,24/04/20,14/10/20,"Hospital Universitario Cruces, Barakaldo, Bizkaia, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital General Universitario de Valencia, Valencia",Spain,Respiratory Diseases,1,2,379.0
406.0,NCT04602442,Safety and Efficiency of Method of Exosome Inhalation in COVID-19 Associated Pneumonia,COVID-19EXO2,Enrolling by invitation,COVID-19,COVID-19,COVID-19,,,,,Drug: EXO 1 inhalation|Drug: EXO 2 inhalation|Drug: Placebo inhalation,"Olga Tyumina|Clinics of the Federal State Budgetary Educational Institution SSMU|Samara Regional Clinical Hospital V.D. Seredavin|State-Financed Health Facility ""Samara Regional Medical Center Dinasty""",All,"18 Years to 65 Years   (Adult, Older Adult)",90.0,Other,Interventional,2020-01-10,01/08/21,2021-12-30,26/10/20,26/10/20,"Medical Centre Dinasty, Samara",Russian Federation,Respiratory Diseases,1,3,720.0
407.0,NCT04399733,EMPOWER - BAME vs COVID,,Not yet recruiting,COVID-19,Health Disparities,,,,,,,Future Genetics Limited,All,"6 Years and older   (Child, Adult, Older Adult)",12800.0,Other,Observational,2021-01-02,01/02/23,2024-01-02,22/05/20,22/07/20,"Future Genetics Limited, Birmingham, West Midlands",United Kingdom,Respiratory Diseases,1,2,1095.0
408.0,NCT04357990,Viruxal Oral and Nasal Spray for Treating the Symptoms of COVID-19,KONS-COVID19,Recruiting,COVID-19,,,,,,,Device: Viruxal Oral and Nasal Spray|Other: Placebo,Kerecis Ltd.,All,"18 Years and older   (Adult, Older Adult)",128.0,Industry,Interventional,2020-04-09,01/03/21,2021-01-03,22/04/20,17/09/20,"National Hospital of Iceland (Landspítali), Reykjavík",Iceland,Respiratory Diseases,1,1,269.0
409.0,NCT04502472,Open-label Treatment of Severe Coronavirus Disease 2019 (COVID-19) With Convalescent Plasma,Inova-CCP,Recruiting,COVID-19,,,,,,,Biological: Convalescent plasma transfusion,Inova Health Care Services,All,"18 Years and older   (Adult, Older Adult)",200.0,Other,Interventional,2020-06-06,31/12/21,2021-12-31,06/08/20,06/08/20,"Inova Fairfax Medical Campus, Falls Church, Virginia",United States,Respiratory Diseases,1,1,573.0
410.0,NCT04387890,Serologic Surveillance for SARS-CoV-2 (COVID-19) in a Prospective Cohort of Health Care Workers,,Not yet recruiting,COVID-19,SARS-CoV 2,Health Personnel,,,,,Diagnostic Test: Serologic SARS-CoV-2 screening,Hospital Italiano de Buenos Aires|Roche Pharma AG,All,"18 Years and older   (Adult, Older Adult)",50.0,Other|Industry,Observational,2020-01-06,31/08/20,2020-08-31,14/05/20,28/05/20,,,Respiratory Diseases,1,3,238.0
411.0,NCT04738695,SARS-CoV-2 Seroprevalence Among Nursing Home Staff and Residents (COVID-19),SCOPE,Recruiting,COVID-19,COVID-19,,,,,,Diagnostic Test: Point-of-care rapid anti-SARS-CoV-2 antibody test (Orient Gene Biotech) and Dry Blood Spot collection (Euroimmun),Sciensano|KU Leuven|University of Liege|Universiteit Antwerpen,All,"18 Years and older   (Adult, Older Adult)",3036.0,Other,Observational,2021-01-02,31/03/22,2022-03-31,04/02/21,18/03/21,"Ghent University, Ghent, Oost-Vlaanderen",Belgium,Respiratory Diseases,1,2,453.0
412.0,NCT04336462,Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19,COVID-19,Recruiting,COVID-19,,,,,,,Device: oxyhydrogen|Device: Oxygen,"Shanghai Asclepius Meditec Inc.|Shanghai Public Health Clinical Center|Henan Provincial People's Hospital|Shenzhen Third People's Hospital|The First People's Hospital of Yunnan|Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine|Shanghai 6th People's Hospital|Guangdong Provincial Hospital of Traditional Chinese Medicine",All,"18 Years to 85 Years   (Adult, Older Adult)",100.0,Industry|Other,Interventional,2020-02-15,21/02/20,2020-01-08,07/04/20,07/04/20,"First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong",China,Respiratory Diseases,1,1,-38.0
